icao24,callsign,paese,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp_raccolta
471d5f,WMT5JN  ,Hungary,1787658188,1787658188,10.9274,44.4181,7802.88,False,213.49,75.63,-5.2,,8191.5,1000,False,0,2026-08-25 11:43:14.978701
4b0dd5,HUE11F  ,Switzerland,1787658187,1787658188,6.9987,46.0662,3459.48,False,129.07,26.77,-9.43,,3634.74,4072,False,0,2026-08-25 11:43:14.978701
4a3123,AIZ338  ,Romania,1787658163,1787658186,18.4239,42.6031,10058.4,False,255.54,118.63,0.33,,10591.8,0405,False,0,2026-08-25 11:43:14.978701
896184,UAE25K  ,United Arab Emirates,1787658188,1787658188,18.5286,39.6093,11887.2,False,269.96,130.67,0.33,,12542.52,0245,False,0,2026-08-25 11:43:14.978701
45218e,LZB477  ,Bulgaria,1787658188,1787658188,12.207,41.0453,11582.4,False,198.17,268.07,0.0,,12192.0,6541,False,0,2026-08-25 11:43:14.978701
39dd48,CCM31A  ,France,1787658188,1787658188,10.9723,41.8919,4747.26,False,87.43,263.92,2.28,,5036.82,,False,0,2026-08-25 11:43:14.978701
440191,EJU46LB ,Austria,1787658188,1787658188,6.8811,46.1368,10980.42,False,208.97,310.91,0.33,,11414.76,1000,False,0,2026-08-25 11:43:14.978701
471dbd,WMT694  ,Hungary,1787658187,1787658188,12.674,39.9264,10172.7,False,239.91,164.32,6.83,,10812.78,,False,0,2026-08-25 11:43:14.978701
440137,OEVPI   ,Austria,1787658188,1787658188,15.5711,46.921,1066.8,False,84.31,174.05,0.0,,1135.38,7343,False,0,2026-08-25 11:43:14.978701
471dbb,WZZ8HY  ,Hungary,1787658188,1787658188,10.8661,44.5737,10660.38,False,198.39,263.3,0.0,,11148.06,7224,False,0,2026-08-25 11:43:14.978701
4c2e40,YULSA   ,Serbia,1787658188,1787658188,13.4591,46.9161,10668.0,False,199.79,262.45,-0.33,,11056.62,1000,False,0,2026-08-25 11:43:14.978701
45caa1,DTR1842 ,Denmark,1787658188,1787658188,14.1633,36.7175,4259.58,False,130.8,51.87,-0.33,,4632.96,3761,False,0,2026-08-25 11:43:14.978701
471dab,WMT1134 ,Hungary,1787658187,1787658187,16.5122,44.5722,10347.96,False,205.84,265.7,-0.33,,10858.5,7342,False,0,2026-08-25 11:43:14.978701
471db0,WMT63CN ,Hungary,1787658187,1787658187,17.747,44.8103,10668.0,False,251.0,26.67,0.0,,11193.78,1000,False,0,2026-08-25 11:43:14.978701
4bd8c2,TKJ20Q  ,Turkey,1787658189,1787658189,14.1095,44.9968,10668.0,False,257.05,104.84,-0.33,,11140.44,0447,False,0,2026-08-25 11:43:14.978701
300a4d,IOZZW   ,Italy,1787658188,1787658188,11.544,44.4992,381.0,False,38.31,284.78,-0.65,,419.1,,False,0,2026-08-25 11:43:14.978701
440115,EJU692D ,Austria,1787658188,1787658188,10.8307,43.3669,11887.2,False,236.8,164.24,0.0,,12443.46,0460,False,0,2026-08-25 11:43:14.978701
440100,SKV555  ,Austria,1787658188,1787658188,15.5746,39.4945,6629.4,False,167.87,137.61,-8.45,,7109.46,5403,False,0,2026-08-25 11:43:14.978701
3d356a,DESMC   ,Germany,1787658188,1787658188,12.5625,44.275,2148.84,False,100.12,132.71,-4.55,,2286.0,2136,False,0,2026-08-25 11:43:14.978701
